Titulo;Año;Director;Vista
Dezertir;1933;Vsevolod Pudovkin;0
Sopa de ganso;1933;Leo McCarey;1
Velikiy uteshitel;1933;Lev Kuleshov;0
Soy un vagabundo;1933;Lewis Milestone;0
Duro de pelar;1933;Mervyn LeRoy;0
Fueros humanos;1933;Frank Borzage;0
Fantasía pasajera;1933;Yasujirô Ozu;0
Stoopnocracy;1933;Dave Fleischer;0
Topaze;1933;Harry d'Abbadie d'Arrast;0
Angèle;1934;Marcel Pagnol;0
L'atalante;1934;Jean Vigo;0
Satanás;1934;Edgar G. Ulmer;0
Cleopatra;1934;Cecil B. DeMille;0
La alegre divorciada;1934;Mark Sandrich;0
El juez Priest;1934;John Ford;0
El pan nuestro de cada día;1934;King Vidor;0
Capricho imperial;1934;Josef von Sternberg;0
La mujer de todos;1934;Max Ophüls;0
Toni;1935;Jean Renoir;0
La comedia de la vida;1934;Howard Hawks;0
Aerograd;1935;Aleksandr Dovzhenko;0
La novia de Frankenstein;1935;James Whale;1
El crimen de Monsieur Lange;1936;Jean Renoir;0
Nobleza obliga;1935;Leo McCarey;0
The Scoundrel;1935;Ben Hecht;0
La gran aventura de Silvia;1935;George Cukor;0
39 escalones;1935;Alfred Hitchcock;0
Muñecos infernales;1936;Tod Browning;0
Furia;1936;Fritz Lang;0
Tiempos modernos;1936;Charles Chaplin;1
El hijo único;1936;Yasujirô Ozu;0
Prisionero del odio;1936;John Ford;0
Rose Hobart;1936;Joseph Cornell;0
La novena sinfonía;1936;Douglas Sirk;0
Magnolia;1936;James Whale;0
La gran ilusión;1937;Jean Renoir;0
The Great Garrick;1937;James Whale;0
Dejad paso al mañana;1937;Leo McCarey;0
Las perlas de la corona;1937;Sacha Guitry;0
Sólo se vive una vez;1937;Fritz Lang;0
Alexander Nevsky;1938;Sergei M. Eisenstein;0
La bestia humana;1938;Jean Renoir;0
Detstvo Gorkogo;1938;Mark Donskoy;0
Alarma en el expreso;1938;Alfred Hitchcock;0
Olimpiada, parte 1;1938;Leni Riefenstahl;0
You and Me;1938;Fritz Lang;0
Sierra de Teruel;1940;André Malraux;0
Tú y yo;1939;Leo McCarey;0
Sólo los ángeles tienen alas;1939;Howard Hawks;0
La regla del juego;1939;Jean Renoir;0
Historia de los crisantemos tardíos;1939;Kenji Mizoguchi;0
El mago de Oz;1939;Victor Fleming;1
Navidades en julio;1940;Preston Sturges;0
Enviado especial;1940;Alfred Hitchcock;0
Las uvas de la ira;1940;John Ford;0
El gran dictador;1940;Charles Chaplin;1
Hombres intrépidos;1940;John Ford;0
Pinocho;1940;Norman Ferguson;1
Rebeca;1940;Alfred Hitchcock;0
El bazar de las sorpresas;1940;Ernst Lubitsch;0
El ladrón de Bagdad;1940;Ludwig Berger;0
El hombre que vendió su alma;1941;William Dieterle;0
Hermanos y hermanas de la familia Toda;1941;Yasujirô Ozu;0
Ciudadano Kane;1941;Orson Welles;1
Dumbo;1941;Samuel Armstrong;1
Loquilandia;1941;H.C. Potter;0
El halcón maltés;1941;John Huston;1
El hombre atrapado;1941;Fritz Lang;0
La pelirroja;1941;Raoul Walsh;0
Sospecha;1941;Alfred Hitchcock;0
La mujer pantera;1942;Jacques Tourneur;1
La venganza de los cuarenta y siete samuráis;1941;Kenji Mizoguchi;0
El cuarto mandamiento;1942;Orson Welles;0
Los viajes de Sullivan;1941;Preston Sturges;0
El cielo os pertenece;1944;Jean Grémillon;0
Dies irae;1943;Carl Theodor Dreyer;0
Dumb-Hounded;1943;Tex Avery;0
El diablo dijo no;1943;Ernst Lubitsch;0
Yo anduve con un zombie;1943;Jacques Tourneur;0
El hombre leopardo;1943;Jacques Tourneur;0
Red Hot Riding Hood;1943;Tex Avery;0
La 7a víctima;1943;Mark Robson;0
Esta tierra es mía;1943;Jean Renoir;0
